,0
0,NRBO
1,AKRO
2,CMRA
3,VNET
4,ETNB
5,IFBD
6,PL
7,AEHR
8,AKUS
9,INNV
10,YQ
11,JWEL
12,BLPH
13,TERN
14,VIRC
15,BRSH
16,TSRI
17,PHUN
18,CWCO
19,CPRX
20,RANI
21,TRDA
22,CELU
23,BEDU
24,SEEL
25,IMRX
26,MGTA
27,ZFOX
28,ALLR
29,GRPH
30,RCEL
31,LXU
32,URGN
33,OTLK
34,PIII
35,ARDX
36,USEA
37,AEZS
38,CRDO
39,EGLE
40,SKYT
41,CNCE
42,SRAX
43,IDAI
44,PBTS
45,PXS
46,ELDN
47,BTTR
48,RGLS
49,APM
50,ARTL
