,0
0,INM
1,VTYX
2,PYPD
3,ARQQ
4,PXMD
5,ALLG
6,IDYA
7,CLVS
8,ANVS
9,KSPN
10,IHS
11,GGR
12,IBRX
13,PNT
14,RXT
15,TC
16,MEGL
17,ASAN
18,CRDL
19,RGLS
20,CVNA
21,AVYA
22,FOA
23,PTN
24,AUUD
25,QNRX
26,FLGC
27,RYTM
28,NIO
29,IMRA
30,BBIG
31,ALJJ
32,SWTX
33,ENVB
34,CDLX
35,DIBS
36,DCPH
37,GWH
38,RLYB
39,SGML
40,CRBU
41,UTME
42,MTBC
43,SKE
44,IMRX
45,ZDGE
46,MNTK
47,ZFOX
48,CRDF
49,ATHX
50,AURA
51,ACON
52,PHAT
53,RBBN
54,CCO
55,NEPT
56,ATEC
57,QH
58,RENT
59,PRPL
60,STKH
61,EXAI
62,IONQ
63,MDGL
64,THTX
65,LCID
66,TARA
67,VZLA
68,RVP
69,DTC
70,NTCT
71,EWTX
72,TYRA
73,ANGN
74,GCBC
75,FEAM
76,AXLA
77,FPAY
78,SNTI
79,LOV
80,TAL
81,AERC
82,LYEL
83,FUSN
84,CRS
85,CMPR
86,FUBO
87,RAIN
88,ANIX
89,OCUL
90,BODY
91,SYM
92,KALU
93,DBD
94,XCUR
95,REBN
96,CIFR
97,SURG
98,ACET
99,MIST
100,FATH
101,STXS
102,REAL
103,MBOT
104,SKYX
105,TERN
106,LYTS
107,CXM
108,VLTA
109,REUN
110,CPS
111,GLPG
112,LQDT
113,OSTK
114,QUOT
115,MOR
116,DHX
117,DNA
118,CYXT
119,APPS
120,VIRI
121,MNDY
122,BOWL
123,W
124,TGB
125,TSHA
126,ENLV
127,DBVT
128,GRTS
129,CTSO
130,LGF-A
131,AIKI
132,MCRB
133,ACCD
134,NMRD
135,HYPR
136,TSP
137,AOUT
138,EIGR
139,GRAB
140,ISIG
141,FSLY
142,TAST
143,ZY
144,PLRX
145,PTON
146,GRPN
147,POSH
148,NUVL
149,NABL
150,NEXA
151,LGF-B
152,MESO
153,CTMX
154,CDE
155,GLSI
156,ARGO
157,CSTM
158,CCCC
159,TTI
160,IRNT
161,CRCT
162,NNBR
163,SCYX
164,HEPS
165,PHX
166,VIRX
167,ARCT
168,NYC
169,EMBK
170,VAL
171,NVNO
172,CASI
173,FLUX
174,ATRO
175,NA
176,GTLB
177,UEIC
178,RETA
179,EEX
180,CSSE
181,ACRS
182,AKUS
183,FGF
184,LL
185,FRPT
186,ARBK
187,AUST
188,SMAR
189,BCLI
190,SXTC
191,LICY
192,TME
193,BCDA
194,FTCH
195,CFLT
196,TCRR
197,APYX
198,TDUP
199,CWH
