,0
0,DMS
1,GOVX
2,AVCT
3,MOGU
4,SHPH
5,ANVS
6,NVTA
7,INM
8,XLO
9,VERU
10,ZS
11,TERN
12,PROK
13,BDSX
14,WETG
15,YRD
16,PETZ
17,FRGE
18,SJ
19,FUBO
20,CURV
21,PEAR
22,KAL
23,POSH
24,ARBK
25,LWLG
26,SBET
27,REAL
28,PTON
29,HTCR
30,RNXT
31,LPTH
32,ANTX
33,WRBY
34,OPRT
35,ZLAB
36,PGEN
37,RVNC
38,AMC
39,AXGN
40,BCLI
41,BORR
42,GME
43,MVST
44,HUT
45,IPA
46,PRE
47,MSTR
48,WEJO
49,BNR
50,AMPY
51,ODV
52,TSHA
53,OII
54,FCEL
55,PIXY
56,LTRPA
57,PLTK
58,AZRE
59,TNP
60,SLCA
61,AGS
62,BKKT
63,TUP
64,LMNR
65,PGY
66,SAVA
67,AFRM
68,RIOT
69,COIN
70,LMFA
71,HIVE
72,AXDX
73,IREN
74,AMLX
75,DOCU
76,BMEA
77,MIRO
78,BHC
79,CARV
80,VTVT
81,QMCO
82,ANGN
83,SDIG
84,VEEE
85,GOL
86,EPOW
87,DSKE
88,FLGC
89,CMPR
90,TTNP
91,WW
92,OPAD
93,MOR
94,SID
95,FTK
96,BMBL
97,SOS
98,GTBP
99,HUBS
100,SOND
101,RPHM
102,VALE
103,SIG
104,BITF
105,VRT
106,YSG
107,PBTS
108,CORZ
109,PLRX
110,CLB
111,NAAS
112,EBS
113,SHOP
114,BLRX
115,PAGS
116,GHL
117,AZUL
118,CTV
119,RBLX
120,ELMD
121,AUID
122,TOP
123,REUN
124,API
125,ELVT
126,VINP
127,DISH
128,LOVE
129,LAZR
130,MDB
131,ARDS
132,EMBK
133,SFE
134,CENX
135,QTRX
136,MKFG
137,ENVX
138,TMCI
139,GRFX
140,BBAI
141,LGL
142,DASH
143,BBBY
144,NIO
145,CPS
146,LPTX
147,GLBE
148,GIFI
149,PEI
150,TYRA
151,SERA
152,TDUP
153,PLG
154,APE
155,TARA
156,BTBT
157,TWI
158,APLD
159,STNE
160,SPT
161,CYTH
162,CPNG
163,COMP
164,BTTX
165,PACB
166,EVI
167,PLSE
168,ACXP
169,LSPD
170,GB
171,STAF
172,TGL
173,QRTEB
174,SOL
175,VLDR
176,OSPN
177,BBW
178,GTE
179,CWCO
180,COOK
181,CVNA
182,JAKK
183,PMT
184,TEAM
185,HI
186,AA
187,MDVL
188,LGO
189,CD
190,FEAM
191,LGF-A
192,NFGC
193,LGF-B
194,FARM
195,CYXT
196,MAPS
197,OSCR
198,FSLY
199,CXDO
